Indicator Type,File Name,File Hash,IP,URL,Mutex,Description
File Hash,ChinaUS_1.pps,b9c24e26c90fd83ad8258a90b1c84022d180c0223f182f96c928333f2e9c5934,,,,
File Hash,ChinaUS_2.pps,065321d0497565871bcfe5ee606636e9d0f2975558ee838122bbbe78ffd2d367,,,,
File Hash,chinesemilstrat_1.pps,158919e9ca13db3747708b56397b63431ad864879abe1f5f3c4c178d8fae1149,,,,
File Hash,chinesemilstrat_2.pps,6cb9b489f27517b21db61398cc103f863eb71e1034997e7f54b463be9c34568b,,,,
File Hash,cppcc_1.pps,5e4dd3e3d21a25a2680320ad79ef773f133312210adcd45b09bfb183c5797004,,,,
File Hash,cppcc_2.pps,04317dd251b6eb22ce0941dda9821463fe53a51140d4ac639b9d0463dbf61372,,,,
File Hash,election.pps,7ce893d1e08ef1ce62706eabe9aa0813e5e495d4f24955ca5020c3191968ec3a,,,,
File Hash,enggmarvels_1.pps,79af494cfb231c267d3149d4922a16ea0086c4ba63b584e6ff8dc463235eb999,,,,
File Hash,enggmarvels_2.pps,0803956f7919f3ac71f345a59c3803b0ab5e32e8f9c408b0eff0716a013c020d,,,,
File Hash,fengnew33.pps,caf046809672fa9b162ddb633f12f1c817c8aab42da994398135b0b2b5b2f01c,,,,
File Hash,fengnew36.pps,e61a805907a44c61458baae92cb9a2bb901d76102fe94ae0a6ef287cf71fb4ae,,,,
File Hash,fengnew63.pps,3e282a1cdcc692415998633af2a15d79dcfb2ce90734bf90138e9bd3e3c32f7f,,,,
File Hash,fengnew66.pps,0edb3efd98de5d135f3326129a4d7a5546484570d9949e6103179a0e5e6b97dd,,,,
File Hash,futuredrones_1.pps,13f03f67d748ece55bcdd77373668e89d97c340f426aac5097817b6bb91c6844,,,,
File Hash,futuredrones_2.pps,43c1bee83e6f814a4028192f9f52fb89fea986815da43654ce991f06bbd48b5e,,,,
File Hash,gaokaonewschedule_1.pps,a725cf180706c6060f344ac8cecc1c23e90358a1170c61db7dd8a3be4d109e8b,,,,
File Hash,gaokaonewschedule_2.pps,12ffc8454be5a73a894eea89d1617d256f0e65fe403a2c19558b3f484c7cbe03,,,,
File Hash,harbin_1.pps,2c1a70bf43bd622201321e902982153f13414e2f42f0a17fad0e9d35ba8613f4,,,,
File Hash,Implication_China_mil_reforms_1.pps,97503d2302fc3b51f666f6d4ea067b499d185f807fb5a61cee49851d0417ade8,,,,
File Hash,japan_pivot_1.pps,887cc8220cd9722d114cf575f1cb7758c2e10f3d8904121dc9fe0b749c6955bb,,,,
File Hash,japan_pivot_2.pps,18af865435967f803a2b2cf8ef0ec1a859d6d9612a59c01a59c77d31fda9c91d,,,,
File Hash,jtopcentrecomn.pps,7169ee156199b86e7149cb9c49a146b5d20afe02d90d315e00b3980419c41d14,,,,
File Hash,korea1.pps,1ea09eb00f49a92505c22f2f4569e035894cb765a8be87adcbc94c01a8d9d5c0,,,,
